Year,City,Sport,Athlete,Country,Gender,Event,Medal,,,,,,,,,,,,,,,,,,,
1956,Cortina d'Ampezzo,Skiing,"IGAYA, Chiharu",JPN,Men,Slalom,Silver,,,,,,,,,,,,,,,,,,,
1972,Sapporo,Skiing,"AOCHI, Seiji",JPN,Men,K90 Individual (70M),Bronze,,,,,,,,,,,,,,,,,,,
1972,Sapporo,Skiing,"KASAYA, Yukio",JPN,Men,K90 Individual (70M),Gold,,,,,,,,,,,,,,,,,,,
1972,Sapporo,Skiing,"KONNO, Akitsugu",JPN,Men,K90 Individual (70M),Silver,,,,,,,,,,,,,,,,,,,
1980,Lake Placid,Skiing,"YAGI, Hirokazu",JPN,Men,K90 Individual (70M),Silver,,,,,,,,,,,,,,,,,,,
1992,Albertville,Skiing,"KONO, Takanori",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1992,Albertville,Skiing,"MIKATA, Reiichi",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1992,Albertville,Skiing,"OGIWARA, Kenji",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"ABE, Masashi",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"KONO, Takanori",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"OGIWARA, Kenji",JPN,Men,Team,Gold,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"KONO, Takanori",JPN,Men,Individual,Silver,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"HARADA, Masahiko",JPN,Men,K120 Team (90M),Silver,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"KASAI, Noriaki",JPN,Men,K120 Team (90M),Silver,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"NISHIKATA, Jinya",JPN,Men,K120 Team (90M),Silver,,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skiing,"OKABE, Takanobu",JPN,Men,K120 Team (90M),Silver,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"HARADA, Masahiko",JPN,Men,K120 Individual (90M),Bronze,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"SATOYA, Tae",JPN,Women,Moguls,Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"FUNAKI, Kazuyoshi",JPN,Men,K120 Individual (90M),Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"FUNAKI, Kazuyoshi",JPN,Men,K120 Team (90M),Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"HARADA, Masahiko",JPN,Men,K120 Team (90M),Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"OKABE, Takanobu",JPN,Men,K120 Team (90M),Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"SAITO, Hiroya",JPN,Men,K120 Team (90M),Gold,,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"FUNAKI, Kazuyoshi",JPN,Men,K90 Individual (70M),Silver,,,,,,,,,,,,,,,,,,,
2002,Salt Lake City,Skiing,"SATOYA, Tae",JPN,Women,Moguls,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"ONOZUKA, Ayana",JPN,Women,Ski Halfpipe,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"ITO, Daiki",JPN,Men,Teams,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"KASAI, Noriaki",JPN,Men,Teams,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"SHIMIZU, Reruhi",JPN,Men,Teams,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"TAKEUCHI, Taku",JPN,Men,Teams,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"HIRAOKA, Taku",JPN,Men,Half-Pipe,Bronze,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"WATABE, Akito",JPN,Men,Ind. K90 (70M),Silver,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"KASAI, Noriaki",JPN,Men,Large Hill,Silver,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"HIRANO, Ayumu",JPN,Men,Half-Pipe,Silver,,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"TAKEUCHI, Tomoka",JPN,Women,Giant Parall.S.,Silver,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
